trace_id,requirement_id,source_path,implementation_paths,validation_evidence,coverage_status,semantic_review,notes
TRACE-RB-001,RB-001,PRDs/active/Sys4AI_repository_reboot_prd.md,README.md;SYSTEM_MAP.md;decisions/ADR-0001-repository-boundaries.md,make validate-development,implemented,pass,Monorepo retained with extractable product boundary
TRACE-RB-002,RB-002,PRDs/active/Sys4AI_repository_reboot_prd.md,development/README.md;architecture/development-system-architecture.md;Sys4AI/README.md;integration/README.md,make validate-development,implemented,pass,Five planes have explicit roots
TRACE-RB-003,RB-003,PRDs/active/Sys4AI_repository_reboot_prd.md,SYSTEM_MAP.md;architecture/system-context.md;development/sfadev/validation.py,make validate,implemented,pass,Boundary scanner supplies executable evidence
TRACE-RB-004,RB-004,PRDs/active/Sys4AI_repository_reboot_prd.md,README.md;SYSTEM_MAP.md;PROJECT_STATUS.md;CHANGELOG.md;architecture/README.md;decisions/README.md,make validate-development,implemented,pass,Human front doors
TRACE-RB-005,RB-005,PRDs/active/Sys4AI_repository_reboot_prd.md,PRDs/README.md;PRDs/active/Sys4AI_product_baseline_prd.md;PRDs/active/Sys4AI_repository_reboot_prd.md,make validate-development,implemented,pass,One product baseline and one change PRD
TRACE-RB-006,RB-006,PRDs/active/Sys4AI_repository_reboot_prd.md,implementation_plans/README.md;implementation_plans/active/repository-reboot-implementation-plan.md,make validate-development,implemented,pass,One active plan
TRACE-RB-007,RB-007,PRDs/active/Sys4AI_repository_reboot_prd.md,decisions/ADR-0001-repository-boundaries.md;decisions/ADR-0002-bootstrap-runtime.md;decisions/ADR-0003-self-hosting.md;decisions/ADR-0004-product-packaging.md;decisions/ADR-0005-development-environment.md,make validate-development,implemented,pass,Five durable decisions
TRACE-RB-008,RB-008,PRDs/active/Sys4AI_repository_reboot_prd.md,development/bootstrap-agent/skills;development/bootstrap-agent/skill-catalog/SKILL_REGISTRY.yaml,make validate-development,implemented,pass,Canonical bootstrap skills visible
TRACE-RB-009,RB-009,PRDs/active/Sys4AI_repository_reboot_prd.md,development/tools/generate_host_bindings.py;.agents/skills;.codex/skills,python3 development/tools/generate_host_bindings.py --check,implemented,pass,Minimal generated bindings
TRACE-RB-010,RB-010,PRDs/active/Sys4AI_repository_reboot_prd.md,development/schemas/skills;development/tools,make validate-development,implemented,pass,Development schemas and tools relocated
TRACE-RB-011,RB-011,PRDs/active/Sys4AI_repository_reboot_prd.md,Sys4AI/assets/skills;Sys4AI/assets/skills/catalog.yaml,make -C Sys4AI validate-assets,implemented,pass,Product skills independent
TRACE-RB-012,RB-012,PRDs/active/Sys4AI_repository_reboot_prd.md,Sys4AI/pyproject.toml;Sys4AI/src/sys4ai;development/sfadev,make validate,implemented,pass,Product and development CLIs split
TRACE-RB-013,RB-013,PRDs/active/Sys4AI_repository_reboot_prd.md,Sys4AI/src/sys4ai,make -C Sys4AI test,implemented,pass,Ports and adapters package structure
TRACE-RB-014,RB-014,PRDs/active/Sys4AI_repository_reboot_prd.md,development/state/current-work.yaml;development/evidence/current/migration-map.yaml,make validate-development,implemented,pass,Development history excluded from product
TRACE-RB-015,RB-015,PRDs/active/Sys4AI_repository_reboot_prd.md,Sys4AI/contracts;Sys4AI/assets;Sys4AI/examples;Sys4AI/src/sys4ai,make validate-product,implemented,pass,Portable product assets retained
TRACE-RB-016,RB-016,PRDs/active/Sys4AI_repository_reboot_prd.md,development/bootstrap-agent/profiles/sys4ai-self-hosting.toml;Sys4AI/contracts/profiles/self-hosting-profile.schema.json;Sys4AI/examples/profiles/self-hosting-profile.example.toml,make validate,implemented,pass,Self-hosting profile split
TRACE-RB-017,RB-017,PRDs/active/Sys4AI_repository_reboot_prd.md,Sys4AI/assets/assurance;development/evidence/releases,make validate-product,implemented,pass,Assurance split by type
TRACE-RB-018,RB-018,PRDs/active/Sys4AI_repository_reboot_prd.md,development/catalog/artifacts.yaml;development/catalog/skills.yaml;development/catalog/decisions.yaml;development/trace/requirements.csv;Sys4AI/contracts/catalogs,make validate,implemented,pass,Small canonical catalog set
TRACE-RB-019,RB-019,PRDs/active/Sys4AI_repository_reboot_prd.md,.gitignore;Sys4AI/docs,make validate-development,implemented,pass,Generated product docs untracked
TRACE-RB-020,RB-020,PRDs/active/Sys4AI_repository_reboot_prd.md,integration/fixtures/target-systems/repo-steward;integration/tests,make validate-integration,implemented,pass,Derivative target fixture
TRACE-RB-021,RB-021,PRDs/active/Sys4AI_repository_reboot_prd.md,Makefile;.github/workflows/validate-development.yml;.github/workflows/validate-product.yml;.github/workflows/validate-integration.yml,make validate,implemented,pass,Independent workflow lanes
TRACE-RB-022,RB-022,PRDs/active/Sys4AI_repository_reboot_prd.md,Sys4AI/docs/guides;development/bootstrap-agent/reference/mixed-layer-guides,make -C Sys4AI validate-assets,implemented,pass,Mixed guides preserved and layer-correct product guides rebuilt
TRACE-RB-023,RB-023,PRDs/active/Sys4AI_repository_reboot_prd.md,.gitignore;Sys4AI/.gitignore,make validate-development,implemented,pass,Mutable state ignored
TRACE-RB-024,RB-024,PRDs/active/Sys4AI_repository_reboot_prd.md,CHANGELOG.md;development/evidence/current/migration-map.yaml,git show pre-reboot-2026-07-15,implemented,pass,Baseline and archive preserved
TRACE-RNFR-001,RNFR-001,PRDs/active/Sys4AI_repository_reboot_prd.md,README.md;PROJECT_STATUS.md;SYSTEM_MAP.md,manual navigation review,implemented,pass,Five-minute comprehension target
TRACE-RNFR-002,RNFR-002,PRDs/active/Sys4AI_repository_reboot_prd.md,development/sfadev/validation.py,make validate-development,implemented,pass,Fail-closed repository checks
TRACE-RNFR-003,RNFR-003,PRDs/active/Sys4AI_repository_reboot_prd.md,LICENSE;NOTICE,git diff --exit-code pre-reboot-2026-07-15 -- LICENSE NOTICE,implemented,pass,Legal files unchanged
TRACE-RNFR-004,RNFR-004,PRDs/active/Sys4AI_repository_reboot_prd.md,Sys4AI/docs/guides;development/bootstrap-agent/reference/mixed-layer-guides;development/evidence/current/migration-map.yaml,git diff --stat,implemented,pass,Guide intent preserved across classified surfaces
TRACE-RNFR-005,RNFR-005,PRDs/active/Sys4AI_repository_reboot_prd.md,Sys4AI/src/sys4ai,make validate-development,implemented,pass,Capability names replace transaction identifiers
TRACE-RNFR-006,RNFR-006,PRDs/active/Sys4AI_repository_reboot_prd.md,README.md;Sys4AI/README.md;integration/README.md,make validate,implemented,pass,Non-production limitation retained
