skill_id,local_path,source_repo,source_path,family,adaptation_status,lifecycle_status,last_reviewed,notes
codex-usage-metrics,skills/core/codex-usage-metrics,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/codex-usage-metrics,runtime_session_accounting,adapter_shell,adapter_shell,2026-07-06,Phase 1 adapter shell with operational collect_usage_metrics.py and archive_temp_prd.py; full upstream adaptation review pending.
system-definition-interview,skills/core/system-definition-interview,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/system-definition-interview,system_definition_elicitation,adapter_shell,adapter_shell,2026-07-05,Phase 1 adapter shell; upstream template added 2026-07-05; exact local adaptation pending.
system-definition-interview-context-45,skills/core/system-definition-interview-context-45,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/system-definition-interview-context-45,system_definition_elicitation,adapter_shell,adapter_shell,2026-07-06,"Phase 1 adapter shell; requires codex-usage-metrics support fail-closed temp_prd.md handoff behavior, confirmed stale-checkpoint archiving, and explicit end-of-questioning /conversation-to-prd confirmation."
conversation-to-prd,skills/core/conversation-to-prd,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/conversation-to-prd,requirements_production,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
decision-grilling,skills/core/decision-grilling,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/decision-grilling,decision_clarification,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
decision-grilling-context-45,skills/core/decision-grilling-context-45,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/decision-grilling-context-45,decision_clarification,adapter_shell,adapter_shell,2026-07-06,"Phase 1 adapter shell with threshold-only temp_prd.md handoff, confirmed stale-checkpoint archiving, and explicit end-of-questioning /conversation-to-prd confirmation; exact upstream adaptation pending."
domain-grilling-with-docs,skills/core/domain-grilling-with-docs,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/domain-grilling-with-docs,domain_documentation_clarification,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
domain-grilling-with-docs-context-45,skills/core/domain-grilling-with-docs-context-45,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/domain-grilling-with-docs-context-45,domain_documentation_clarification,adapter_shell,adapter_shell,2026-07-06,"Phase 1 adapter shell with threshold-only temp_prd.md handoff, confirmed stale-checkpoint archiving, and explicit end-of-questioning /conversation-to-prd confirmation; exact upstream adaptation pending."
mermaid-diagrams,skills/core/mermaid-diagrams,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/mermaid-diagrams,technical_communication,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
plantuml-diagrams,skills/core/plantuml-diagrams,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/plantuml-diagrams,technical_communication,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
prd-to-implementation-plan,skills/core/prd-to-implementation-plan,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/prd-to-implementation-plan,implementation_planning,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
skill-import-generalizer,skills/core/skill-import-generalizer,https://github.com/AngryOwlAI/ai-skills-for-sys,.codex/skills/skill-import-generalizer,skill_library_maintenance,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
technical-writing-quality-gate,skills/core/technical-writing-quality-gate,https://github.com/AngryOwlAI/ai-skills-for-sys,skills/technical-writing-quality-gate,technical_writing_verification,adapter_shell,adapter_shell,2026-07-04,"Phase 1 adapter shell, exact upstream adaptation pending."
continue,skills/core/continue,local,sys-for-ai/skills/core/continue,continuation_control,scaffold_template,product_scaffold_reference,2026-07-06,Generic product scaffold skill with active runtime adaptation in .agents/skills/continue.
source-first-memory,skills/core/source-first-memory,local,sys-for-ai/skills/core/source-first-memory,source_first_memory,scaffold_template,product_scaffold_reference,2026-07-06,Generic product scaffold skill with active runtime adaptation in .agents/skills/source-first-memory.
role-catalog-governance,skills/core/role-catalog-governance,local,.agents/skills/role-catalog-governance,role_governance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
system-layer-classifier,skills/core/system-layer-classifier,local,.agents/skills/system-layer-classifier,system_layer_governance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
artifact-contract-governance,skills/core/artifact-contract-governance,local,.agents/skills/artifact-contract-governance,artifact_governance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
traceability-matrix-engine,skills/core/traceability-matrix-engine,local,.agents/skills/traceability-matrix-engine,traceability_governance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
director-decision-governor,skills/core/director-decision-governor,local,.agents/skills/director-decision-governor,decision_governance,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
source-authority-auditor,skills/core/source-authority-auditor,local,.agents/skills/source-authority-auditor,source_authority,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
context-window-and-handoff-manager,skills/core/context-window-and-handoff-manager,local,.agents/skills/context-window-and-handoff-manager,context_handoff,adapter_shell,adapter_shell,2026-07-07,Core skill scaffold batch 1 product reference surface.
